actor;director;genre;movie_id;name;rating;runtime;votes;year;release_date;index;video_id;view_count;like_count;dislike_count;comment_count;budget;revenue;is_sequel;mpaa;screen_count;season;seasonality;like_ratio;is_profitable;revenue_range;polarity_tb;w_polarity_tb;count_pos_tb;count_neg_tb;polarity_sia;w_polarity_sia;count_pos_sia;count_neg_sia;polarity_avg;w_polarity_avg;pos_neg_ratio;pos_neg_ratio_1;pos_neg_ratio_3;pos_neg_ratio_5
Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark;M. Night Shyamalan;Drama, Mystery, Sci-Fi;tt0217869;Unbreakable;7.3;106.0;314021.0;2000.0;22 November 2000 (USA);0;R_f1uCWKZQs;5081409.0;10628.0;442.0;1827.0;75000000.0;95011339.0;1;PG-13;2708;Holiday;0.3339;23.993227990970656;True;D;0.2317052990072702;0.27345412822536175;502.0;177.0;0.21066495132127944;-0.052065378069535595;483.0;236.0;0.2211851251642748;0.11069437507791308;2.042194092827004;2.0707964601769913;2.273224043715847;2.3728813559322033
Tom Hanks, Helen Hunt, Paul Sanchez, Lari White;Robert Zemeckis;Adventure, Drama, Romance;tt0162222;Cast Away;7.8;143.0;461775.0;2000.0;22 December 2000 (USA);2;PJvosb4UCLs;4000595.0;7686.0;462.0;1970.0;90000000.0;233632142.0;0;PG-13;3061;Holiday;0.3339;16.602591792656586;True;A;0.21954776908112153;0.14632325456729445;715.0;275.0;0.21086404174573053;0.16074818053596618;705.0;349.0;0.21520590541342605;0.1535357175516303;2.0171428571428573;2.0597014925373136;2.187725631768953;2.3793103448275863
Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor;Ron Howard;Comedy, Family, Fantasy;tt0170016;How the Grinch Stole Christmas;6.1;104.0;179405.0;2000.0;17 November 2000 (USA);5;knFho9WzLJQ;2666154.0;18091.0;3439.0;2699.0;123000000.0;260044825.0;0;PG;3256;Holiday;0.3339;5.2593023255813955;True;A;0.14319126886411146;0.03757621086532698;727.0;337.0;0.12197463295269151;-0.06892445857006246;733.0;493.0;0.1325829509084015;-0.01567412385236774;1.48582995951417;1.5;1.7463976945244957;1.6650717703349283
Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans;Darren Aronofsky;Drama;tt0180093;Requiem for a Dream;8.3;102.0;683670.0;2000.0;15 December 2000 (USA);8;jzk-lmU4KZ4;6665221.0;21757.0;1281.0;3964.0;4500000.0;3635482.0;0;R;93;Holiday;0.3339;16.97191887675507;False;H;0.055801434877020675;0.03079237733896998;656.0;563.0;-0.02544937728937731;-0.24552632533267768;660.0;705.0;0.015176028793821683;-0.10736697399685385;0.9362606232294618;0.9377777777777778;0.9493006993006993;0.8829268292682927
Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda;Nancy Meyers;Comedy, Fantasy, Romance;tt0207201;What Women Want;6.4;127.0;177413.0;2000.0;15 December 2000 (USA);21;HeoLiTirRp4;5508014.0;27728.0;12271.0;9029.0;70000000.0;182811707.0;0;PG-13;3092;Holiday;0.3339;2.2595338983050848;True;B;0.07651858468152148;0.1459344417603233;1966.0;1224.0;0.06042691921726086;0.08841830544437479;2410.0;1576.0;0.06847275194939118;0.11717637360234905;1.528852251109702;1.271040424121935;1.340696686491079;1.145985401459854
Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen;Donald Petrie;Action, Comedy, Crime;tt0212346;Miss Congeniality;6.2;109.0;164310.0;2000.0;22 December 2000 (USA);24;LwrEnPYHsyQ;1621761.0;6466.0;120.0;137.0;45000000.0;106807667.0;1;PG-13;2668;Holiday;0.3339;53.446280991735534;True;C;0.49773312441148776;0.6181211664452675;54.0;5.0;0.4269466666666667;0.5519454605263158;64.0;11.0;0.46233989553907723;0.5850333134857917;5.416666666666667;5.7272727272727275;8.428571428571429;10.25
Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven;Brett Ratner;Comedy, Drama, Fantasy;tt0218967;The Family Man;6.7;125.0;95922.0;2000.0;22 December 2000 (USA);43;V953fHEqous;4883659.0;21904.0;1107.0;1082.0;60000000.0;75793305.0;0;PG-13;2441;Holiday;0.3339;19.76985559566787;True;D;0.13940940216949682;0.1402668502575165;328.0;163.0;0.1113314442413161;0.05357640786749488;324.0;223.0;0.12537042320540645;0.09692162906250569;1.4508928571428572;1.4532710280373833;1.6545454545454545;1.6534653465346534
Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans;Steven Brill;Comedy, Fantasy;tt0185431;Little Nicky;5.3;90.0;89856.0;2000.0;10 November 2000 (USA);67;_0jhAYDiFwo;475805.0;971.0;115.0;152.0;85000000.0;39464775.0;0;PG-13;2910;Holiday;0.3339;8.379310344827585;False;F;0.00022965389103086;-0.29241083809015894;34.0;30.0;0.11275769230769235;-0.11272071005917163;48.0;30.0;0.056493673099361603;-0.20256577407466528;1.5806451612903225;1.6;1.64;1.0
Will Smith, Matt Damon, Charlize Theron, Bruce McGill;Robert Redford;Drama, Fantasy, Sport;tt0146984;The Legend of Bagger Vance;6.7;126.0;49989.0;2000.0;3 November 2000 (USA);105;EjNAulnPsHo;302273.0;226.0;9.0;164.0;80000000.0;30695227.0;0;PG-13;2162;Holiday;0.3339;22.7;False;F;0.3200068376433509;0.2928294115779514;69.0;26.0;0.4979784946236557;0.5933875939849624;80.0;13.0;0.40899266613350327;0.4431085027814569;5.785714285714286;6.230769230769231;7.181818181818182;7.333333333333333
Geoffrey Rush, Kate Winslet, Joaquin Phoenix, Michael Caine;Philip Kaufman;Biography, Drama;tt0180073;Quills;7.3;124.0;48515.0;2000.0;25 December 2000 (USA);124;u--PYnIYewE;862229.0;1249.0;55.0;269.0;13500000.0;7060876.0;0;R;223;Holiday;0.3339;22.321428571428573;False;H;0.3462544954057021;0.44065569663251464;135.0;23.0;0.434556647398844;0.4679;140.0;33.0;0.39040557140227305;0.4542778483162573;4.147058823529412;4.088235294117647;5.291666666666667;8.0
